Date,Adj Close,Label,Open,High,Low,Volume,Subjectivity,Polarity,compound,neg,pos,neu
2008-12-19,8579.110352,0,8606.5,8787.230469,8550.429688,550150000,0.24602272727272725,0.06728896103896102,-0.9971,0.208,0.04,0.752
2008-12-22,8519.69043,0,8573.370117,8601.410156,8372.019531,211090000,0.31260884709160563,-0.0723092998955068,-0.9965,0.228,0.075,0.696
2008-12-23,8419.490234,1,8518.650391,8604.120117,8391.299805,174640000,0.46044848484848494,-0.024378787878787875,-0.9607,0.139,0.072,0.789
2008-12-24,8468.480469,1,8416.860352,8498.5,8416.860352,66930000,0.358384597858282,0.15567327409432674,-0.9508,0.173,0.129,0.698
2008-12-26,8515.549805,0,8468.709961,8533.070312,8461.780273,86760000,0.27685185185185185,0.11168981481481478,-0.9928,0.181,0.082,0.736
2008-12-29,8483.929688,1,8515.870117,8530.679688,8364.05957,153730000,0.4071256038647343,0.17801932367149761,-0.9906,0.196,0.079,0.725
2008-12-30,8668.389648,1,8487.509766,8675.240234,8487.509766,162560000,0.4392047892047892,-0.06845481845481846,-0.9956,0.207,0.099,0.694
2008-12-31,8776.389648,1,8666.480469,8842.660156,8664.889648,226760000,0.44082792207792215,0.04875090187590187,-0.9944,0.196,0.051,0.753
2009-01-02,9034.69043,0,8772.25,9065.280273,8760.780273,213700000,0.500138888888889,0.000694444444444453,-0.9903,0.179,0.063,0.757
2009-01-05,8952.889648,1,9027.129883,9034.370117,8892.360352,233760000,0.33992074592074595,-0.06306138306138306,-0.9964,0.195,0.052,0.753
2009-01-06,9015.099609,0,8954.570312,9088.05957,8940.950195,215410000,0.20848694316436253,0.010138248847926268,-0.9824,0.146,0.073,0.782
2009-01-07,8769.700195,0,8996.94043,8996.94043,8719.919922,266710000,0.3414285714285714,0.06833333333333333,-0.9968,0.183,0.044,0.773
2009-01-08,8742.459961,0,8769.94043,8770.019531,8651.19043,226620000,0.2091269841269841,-0.004793650793650795,-0.9963,0.204,0.044,0.752
2009-01-09,8599.179688,0,8738.799805,8769.620117,8576.959961,204300000,0.3316761363636364,0.05600142045454543,-0.9942,0.146,0.043,0.811
2009-01-12,8473.969727,0,8599.259766,8602.599609,8421.080078,273550000,0.3032943722943723,0.060878787878787886,-0.9892,0.16,0.083,0.757
2009-01-13,8448.55957,0,8474.610352,8522.080078,8376.879883,304050000,0.30584848484848487,0.027204545454545453,-0.997,0.2,0.046,0.754
2009-01-14,8200.139648,1,8446.009766,8446.25,8140.720215,355050000,0.41166666666666674,-0.1325,-0.9983,0.246,0.049,0.706
2009-01-15,8212.490234,1,8196.240234,8286.160156,7995.129883,436660000,0.3609532828282829,0.048737373737373746,-0.9892,0.146,0.056,0.798
2009-01-16,8281.219727,0,8215.669922,8341.200195,8109.339844,439360000,0.2791361416361416,-0.1382936507936508,-0.9985,0.234,0.047,0.719
2009-01-20,7949.089844,1,8279.629883,8291.980469,7939.930176,419200000,0.37158795749704837,0.0267808769513315,-0.9983,0.286,0.061,0.652
2009-01-21,8228.099609,0,7949.169922,8243.549805,7936.189941,410040000,0.3484497484497484,-0.029804317304317308,-0.9949,0.201,0.076,0.723
2009-01-22,8122.799805,0,8224.429688,8224.830078,7957.140137,420040000,0.32968109668109663,-0.02402741702741703,-0.9941,0.176,0.055,0.769
2009-01-23,8077.560059,1,8108.790039,8152.589844,7909.029785,370510000,0.3428187403993856,0.015668202764976956,-0.9922,0.206,0.087,0.707
2009-01-26,8116.029785,1,8078.040039,8231.679688,8023.160156,316720000,0.30892285221553517,-0.031123957343469552,-0.9954,0.201,0.079,0.721
2009-01-27,8174.72998,1,8117.390137,8225.790039,8083.140137,247750000,0.267512077294686,6.0386473429947854e-05,-0.9966,0.205,0.061,0.734
2009-01-28,8375.450195,0,8175.930176,8405.870117,8175.930176,357940000,0.3581746031746031,0.020198412698412698,-0.995,0.221,0.061,0.718
2009-01-29,8149.009766,0,8373.05957,8373.139648,8137.939941,247450000,0.414804292929293,0.025378787878787876,-0.9806,0.113,0.055,0.832
2009-01-30,8000.859863,0,8149.009766,8195.759766,7961.919922,303160000,0.3464285714285714,-0.04474206349206349,-0.9876,0.161,0.062,0.777
2009-02-02,7936.75,1,8000.620117,8000.620117,7867.370117,293890000,0.31559523809523815,-0.020211038961038964,-0.969,0.149,0.097,0.753
